Timestamp,X_min,Y_min,X_max,Y_max,Confidence
2021-11-20T10_02_26,3976,106,3992,121,0.892
2021-11-20T10_02_26,5309,267,5334,291,0.858
2021-11-20T10_02_26,3796,146,3814,163,0.857
2021-11-20T10_02_26,217,434,242,458,0.824
2021-11-20T10_02_26,5395,246,5418,268,0.821
2021-11-20T10_02_26,4041,168,4058,185,0.814
2021-11-20T10_02_26,5162,271,5181,290,0.783
2021-11-20T10_02_26,7760,697,7781,717,0.776
2021-11-20T10_02_26,7034,535,7059,559,0.77
2021-11-20T10_02_26,429,378,454,402,0.756
2021-11-20T10_02_26,2210,295,2224,309,0.737
2021-11-20T10_02_26,6520,509,6539,528,0.726
2021-11-20T10_02_26,6851,605,6875,629,0.722
2021-11-20T10_02_26,4042,108,4055,121,0.705
2021-11-20T10_02_26,7093,556,7107,570,0.697
2021-11-20T10_02_26,232,540,257,564,0.692
2021-11-20T10_02_26,630,703,644,717,0.686
2021-11-20T10_02_26,2425,224,2437,237,0.645
2021-11-20T10_02_26,229,470,248,486,0.644
2021-11-20T10_02_26,7420,650,7436,665,0.639
2021-11-20T10_02_26,4219,175,4232,187,0.605
2021-11-20T10_02_26,375,430,401,452,0.576
2021-11-20T10_02_26,436,659,449,672,0.567
2021-11-20T10_02_26,452,674,472,695,0.559
2021-11-20T10_02_26,6577,559,6589,570,0.541
2021-11-20T10_02_26,441,631,452,642,0.488
2021-11-20T10_02_26,6203,479,6222,497,0.476
2021-11-20T10_02_26,4457,186,4470,199,0.467
2021-11-20T10_02_26,2233,289,2248,304,0.465
2021-11-20T10_02_26,6974,273,6984,284,0.451
2021-11-20T10_02_26,582,625,601,644,0.423
2021-11-20T10_02_26,3860,212,3872,225,0.418
2021-11-20T10_02_26,5157,241,5168,251,0.417
2021-11-20T10_02_26,2175,297,2191,313,0.414
2021-11-20T10_02_26,93,487,104,498,0.405
2021-11-20T10_02_26,951,360,963,372,0.377
2021-11-20T10_02_26,423,652,435,664,0.377
2021-11-20T10_02_26,4761,234,4771,244,0.352
2021-11-20T10_02_26,7164,616,7185,635,0.341
2021-11-20T10_02_26,1305,174,1316,185,0.337
2021-11-20T10_02_26,3316,112,3329,125,0.33
2021-11-20T10_02_26,389,344,400,355,0.32
2021-11-20T10_02_26,2263,293,2278,308,0.318
2021-11-20T10_02_26,127,700,140,713,0.316
2021-11-20T10_02_26,6437,544,6450,557,0.312
2021-11-20T10_02_26,2086,198,2104,217,0.311
2021-11-20T10_02_26,172,722,183,733,0.311
2021-11-20T10_02_26,3545,74,3556,84,0.307
2021-11-20T10_02_26,3625,241,3635,251,0.306
2021-11-20T10_02_26,257,439,268,450,0.305
2021-11-20T10_02_26,2866,162,2891,186,0.303
2021-11-20T10_02_26,1925,258,1936,269,0.303
